messi_games;messi_goals;messi_assists;year;ronaldo_assists;ronaldo_goals;ronaldo_games
32;18;17;2022;4;12;26
34;11;14;2021;3;24;39
47;38;12;2020;5;36;44
44;31;25;2019;5;37;46
50;51;19;2018;10;28;43
54;45;18;2017;8;44;44
52;54;16;2016;11;42;46
49;41;23;2015;15;51;48
57;58;27;2014;21;61;54
46;41;14;2013;14;51;47
50;60;15;2012;12;55;55
60;73;30;2011;15;60;55
55;53;23;2010;16;53;54
53;47;11;2009;8;33;35
51;38;17;2008;9;26;53
40;16;13;2007;7;42;49
36;17;3;2006;14;23;53
25;8;3;2005;8;12;47
9;1;0;2004;8;9;50
0;0;0;2003;6;6;40
0;0;0;2002;4;5;31
